k,f,viab,rho,x_0,x_1,x_2,g_0,g_1
1,-16.45023392335725,0.0024163855260154934,10.0,0.04523383543393183,0.6930688583180135,0.9998251465918224,0.0024163855260154934,-0.06572996845972752
2,-16.45023392335725,0.0024163855260154934,100.0,0.04523383543393183,0.6930688583180135,0.9998251465918224,0.0024163855260154934,-0.06572996845972752
3,-16.45023392335725,0.0024163855260154934,1000.0,0.04523383543393183,0.6930688583180135,0.9998251465918224,0.0024163855260154934,-0.06572996845972752
4,-16.45023392335725,0.0024163855260154934,10000.0,0.04523383543393183,0.6930688583180135,0.9998251465918224,0.0024163855260154934,-0.06572996845972752
5,-16.512302057255233,0.0024936222115867768,100000.0,0.04920620718891264,0.7066997813100739,0.9999013444862954,0.0024936222115867768,-0.06527976232233855
6,-16.512302057255233,0.0024936222115867768,1000000.0,0.04920620718891264,0.7066997813100739,0.9999013444862954,0.0024936222115867768,-0.06527976232233855
7,-14.850666072492162,0.001096632458374932,1000000.0,0.0073180008993254655,0.5286963305593217,0.9999857238810684,0.001096632458374932,-0.07060967233102863
8,-14.078883746338864,0.0006268916047904045,10000000.0,0.026548410618327568,0.5450578933750326,0.9998815716762566,0.0006268916047904045,-0.06927385322861643
9,-12.937877188059604,6.975236775682431e-05,10000000.0,0.031125408700256554,0.5227557883122657,0.9998100640141342,6.975236775682431e-05,-0.06940125412017738
