k,f,viab,rho,x_0,x_1,x_2,g_0,g_1
1,-15.730325378278303,0.0022742367792015616,10.0,0.0,0.5812257939411631,1.0,0.0022742367792015616,-0.07011916150300024
2,-15.730325378278303,0.0022742362284652613,100.0,0.0,0.5812257615449101,1.0,0.0022742362284652613,-0.07011916205373653
3,-15.730325378278303,0.002274235677728916,1000.0,0.0,0.5812257291486544,1.0,0.002274235677728916,-0.07011916260447287
4,-15.730325378278303,0.0022742351269925635,10000.0,0.0,0.5812256967523985,1.0,0.0022742351269925635,-0.07011916315520923
5,-15.730325378278303,0.0022742359998176535,100000.0,0.0,0.5812257480950509,1.0,0.0022742359998176535,-0.07011916228238414
6,-15.730325378278303,0.0022749136777040924,1000000.0,0.0,0.5812656115001356,1.0,0.0022749136777040924,-0.0701184846044977
7,-15.186760733495275,0.0011957985223893797,10000000.0,0.048989811076005446,0.6298621623139184,1.0,0.0011957985223893797,-0.06659790363148309
8,-12.655038315389861,6.777292626840639e-06,10000000.0,0.10010735476904742,0.67606393190486,1.0,-6.777292626840639e-06,-0.06300100864531977
