k,f,viab,rho,x_0,x_1,x_2,g_0
1,7.38953675639978,0.0683733088363474,10.0,0.993896836402415,9.177372691219621e-05,0.056263994489803265,0.0683733088363474
2,7.041385958958257,0.1860284746474805,100.0,0.99981058116112,5.7455885258317306e-05,0.05169488514330734,0.1860284746474805
3,7.4257090178810525,0.13578763941516314,1000.0,0.989968356028678,0.003634647609453752,0.05209856191366876,0.13578763941516314
4,10.623011188468634,0.0,1000.0,0.9996041700196262,0.04433780163526535,0.04530870359995745,-0.13800461256050833
